"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"3/24/2023","ORIG CO NAME:VENMO            CO","ORIG CO NAME:VENMO            CO","1014.90","debit","Shopping","TOTAL CHECKING","",""
"3/24/2023","POS DEBIT                IC* INS","POS DEBIT                IC* INS","205.00","debit","Groceries","TOTAL CHECKING","",""
"3/24/2023","B&H PHOTO 800-606-6969","B&H PHOTO 800-606-6969","76.20","debit","Electronics & Software","CREDIT CARD","",""
"3/24/2023","POS DEBIT                SEAMLSS","POS DEBIT                SEAMLSS","42.47","debit","Restaurants","TOTAL CHECKING","",""
"3/24/2023","Investment Income","Investment Income","0.73","credit","Investments","Automated","",""
"3/24/2023","Buy Mutual Fund","Buy Mutual Fund","1.01","debit","Transfer","Automated","",""
"3/24/2023","Investment Income","Investment Income","0.04","credit","Investments","Automated","",""
"3/24/2023","Investment Income","Investment Income","0.24","credit","Investments","Automated","",""
"3/23/2023","YIA YIA`S","YIA YIA`S","17.15","debit","Restaurants","CREDIT CARD","",""
"3/23/2023","MARKETERIA","MARKETERIA","4.08","debit","Groceries","CREDIT CARD","",""
"3/23/2023","Zipcar Toll MAR18","Zipcar Toll MAR18","20.34","debit","Rental Car & Taxi","CREDIT CARD","",""
"3/23/2023","YIA YIA`S","YIA YIA`S","17.15","debit","Restaurants","CREDIT CARD","",""
"3/22/2023","SEAMLSSPIGHEAVEN","SEAMLSSPIGHEAVEN","28.68","debit","Food Delivery","CREDIT CARD","",""
"3/22/2023","Verizon","VERIZON          PAYMENTREC 7560","95.55","debit","Internet","TOTAL CHECKING","",""
"3/22/2023","MARKETERIA","MARKETERIA","4.08","debit","Groceries","CREDIT CARD","",""
"3/21/2023","215 E 95TH PARKING LLC W","215 E 95TH PARKING LLC W","250.00","debit","Parking","CREDIT CARD","",""
"3/20/2023","ZOLA REGISTRY 101000","ZOLA REGISTRY 101000","102.50","debit","Gift","CREDIT CARD","",""
"3/20/2023","SEAMLSSPIGHEAVEN","SEAMLSSPIGHEAVEN","88.51","debit","Food Delivery","CREDIT CARD","",""
"3/20/2023","APPLE.COM/BILL","APPLE.COM/BILL","108.86","debit","Electronics & Software","CREDIT CARD","",""
"3/19/2023","YIA YIA`S","YIA YIA`S","17.15","debit","Restaurants","CREDIT CARD","",""
"3/19/2023","APPLE.COM/BILL","APPLE.COM/BILL","21.76","debit","Electronics & Software","CREDIT CARD","",""
"3/19/2023","APPLE.COM/BILL","APPLE.COM/BILL","0.99","debit","Electronics & Software","CREDIT CARD","",""
"3/19/2023","EPC*FORTNITE","EPC*FORTNITE","8.70","debit","Entertainment","CREDIT CARD","",""
"3/19/2023","Zipcar Trip MAR18","Zipcar Trip MAR18","175.27","debit","Rental Car & Taxi","CREDIT CARD","",""
"3/19/2023","SHELL OIL 57544416209","SHELL OIL 57544416209","7.90","debit","Gas & Fuel","CREDIT CARD","",""
"3/17/2023","MARKETERIA","MARKETERIA","4.08","debit","Groceries","CREDIT CARD","",""
"3/17/2023","SEAMLSSMARINARAPIZZA","SEAMLSSMARINARAPIZZA","30.71","debit","Food Delivery","CREDIT CARD","",""
"3/17/2023","VTG*LCSW","VTG*LCSW","30.00","debit","Doctor","CREDIT CARD","",""
"3/16/2023","Payment to Chase card ending in","Payment to Chase card ending in","3226.73","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/16/2023","MEMORIAL SLOAN K PAYROLL PPD ID: 9200401281","MEMORIAL SLOAN K PAYROLL","2667.42","credit","MSK Paycheck","TOTAL CHECKING","",""
"3/16/2023","NEW YORK PRESBYT DIRECT DEP","NEW YORK PRESBYT DIRECT DEP","1750.07","credit","NYP Paycheck","TOTAL CHECKING","",""
"3/16/2023","VENMO            PAYMENT    1025","VENMO            PAYMENT    1025","75.00","debit","Venmo","TOTAL CHECKING","",""
"3/16/2023","SEAMLSSPIGHEAVEN","SEAMLSSPIGHEAVEN","29.88","debit","Food Delivery","CREDIT CARD","",""
"3/16/2023","AMZN Mktp US*HC3TE5HG0","AMZN Mktp US*HC3TE5HG0","15.22","debit","Shopping","CREDIT CARD","",""
"3/16/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"3/16/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"3/16/2023","Payment Thank You-Mobile","Payment Thank You-Mobile","3226.73","credit","Credit Card Payment","CREDIT CARD","",""
"3/15/2023","SQ *MATTO APP gosq.com NY","SQ *MATTO APP gosq.com NY","10.00","debit","Coffee Shops","TOTAL CHECKING","",""
"3/15/2023","Amazon.com*HG2CB79B1","Amazon.com*HG2CB79B1","17.40","debit","Shopping","CREDIT CARD","",""
"3/15/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"3/15/2023","CSC SERVICEWORKS KIOSK/MO","CSC SERVICEWORKS KIOSK/MO","20.00","debit","Laundry","CREDIT CARD","",""
"3/15/2023","Curb","CURB SVC - TAXI APP","20.64","debit","Taxi_Lyft","CREDIT CARD","",""
"3/15/2023","Lyft","LYFT   1 RIDE 03-13","16.54","debit","Taxi_Lyft","CREDIT CARD","",""
"3/15/2023","YIA YIA`S","YIA YIA`S","17.17","debit","Restaurants","CREDIT CARD","",""
"3/15/2023","AMZN Mktp US","AMZN Mktp US","35.92","credit","Shopping","CREDIT CARD","",""
"3/14/2023","THE UPS STORE 5777","THE UPS STORE 5777","7.61","debit","Business Services","CREDIT CARD","",""
"3/14/2023","HELP.HBOMAX.COM","HELP.HBOMAX.COM","15.99","debit","Entertainment","CREDIT CARD","",""
"3/14/2023","SEAMLSSPIGHEAVEN SEAMLESS.COM NY","SEAMLSSPIGHEAVEN SEAMLESS.COM NY","45.60","debit","Food Delivery","TOTAL CHECKING","",""
"3/14/2023","NYTimes*NYTimes 800-698-4637 NY","NYTimes*NYTimes 800-698-4637 NY","28.53","debit","Newspapers & Magazines","TOTAL CHECKING","",""
"3/14/2023","SQ *MATTO APP gosq.com NY","SQ *MATTO APP gosq.com NY","10.00","debit","Coffee Shops","TOTAL CHECKING","",""
"3/13/2023","Travelers        PER INSUR","Travelers        PER INSUR","17.00","debit","Renters Insurance","TOTAL CHECKING","",""
"3/13/2023","SQ *MATTO APP gosq.com NY","SQ *MATTO APP gosq.com NY","10.00","debit","Coffee Shops","TOTAL CHECKING","",""
"3/13/2023","MINI DELI OF BIG APPLE","MINI DELI OF BIG APPLE","17.95","debit","Restaurants","CREDIT CARD","",""
"3/13/2023","Amazon Digit*HG6ZT7TQ2","Amazon Digit*HG6ZT7TQ2","10.99","debit","Shopping","CREDIT CARD","",""
"3/13/2023","Lyft","LYFT   2 RIDES 03-11","30.62","debit","Taxi_Lyft","CREDIT CARD","",""
"3/13/2023","APPLE.COM/BILL","APPLE.COM/BILL","54.43","debit","Electronics & Software","CREDIT CARD","",""
"3/12/2023","VTG*LCSW","VTG*LCSW","30.00","debit","Doctor","CREDIT CARD","",""
"3/12/2023","AMZN Mktp US*H59U57WY2","AMZN Mktp US*H59U57WY2","35.92","debit","Shopping","CREDIT CARD","",""
"3/12/2023","MARKETERIA","MARKETERIA","4.08","debit","Groceries","CREDIT CARD","",""
"3/12/2023","SEAMLSSMARINARAPIZZA","SEAMLSSMARINARAPIZZA","38.87","debit","Food Delivery","CREDIT CARD","",""
"3/12/2023","Prime Video*HG0U42LH2","Prime Video*HG0U42LH2","10.99","debit","Movies & DVDs","CREDIT CARD","",""
"3/12/2023","SQ *ZAWA JAPANESE","SQ *ZAWA JAPANESE","31.40","debit","Restaurants","CREDIT CARD","",""
"3/12/2023","DD/BR #351274 Q35","DD/BR #351274 Q35","3.53","debit","Coffee Shops","CREDIT CARD","",""
"3/10/2023","DD/BR #351274 Q35","DD/BR #351274 Q35","3.53","debit","Coffee Shops","CREDIT CARD","",""
"3/10/2023","YIA YIA`S","YIA YIA`S","17.15","debit","Restaurants","CREDIT CARD","",""
"3/10/2023","SEAMLSSPIGHEAVEN SEAMLESS.COM NY","SEAMLSSPIGHEAVEN SEAMLESS.COM NY","28.68","debit","Food Delivery","TOTAL CHECKING","",""
"3/09/2023","SEAMLSSPIGHEAVEN","SEAMLSSPIGHEAVEN","48.22","debit","Food Delivery","CREDIT CARD","",""
"3/09/2023","MARKETERIA","MARKETERIA","4.08","debit","Groceries","CREDIT CARD","",""
"3/09/2023","AMZN Mktp US*H51YE6S51","AMZN Mktp US*H51YE6S51","15.19","debit","Shopping","CREDIT CARD","",""
"3/09/2023","POTTERYBARN.COM","POTTERYBARN.COM","278.72","debit","Furnishings","CREDIT CARD","",""
"3/08/2023","PANDA EXPRESS #2545","PANDA EXPRESS #2545","16.00","debit","Fast Food","CREDIT CARD","",""
"3/08/2023","MARKETERIA","MARKETERIA","4.08","debit","Groceries","CREDIT CARD","",""
"3/08/2023","SEAMLSSSUKIICHIROSUSH","SEAMLSSSUKIICHIROSUSH","45.73","debit","Food Delivery","CREDIT CARD","",""
"3/08/2023","MSKCC MAIN GIFT SHOP","MSKCC MAIN GIFT SHOP","2.00","debit","Gift","CREDIT CARD","",""
"3/07/2023","TIAA-CREF IRA    TIAA-CREF","TIAA-CREF IRA    TIAA-CREF","500.00","debit","Roth IRA","TOTAL CHECKING","",""
"3/07/2023","NY STATE         NYSTTAXRFD","NY STATE         NYSTTAXRFD","527.00","credit","State Tax","TOTAL CHECKING","",""
"3/07/2023","MARKETERIA","MARKETERIA","4.08","debit","Groceries","CREDIT CARD","",""
"3/06/2023","DD/BR #351274 Q35","DD/BR #351274 Q35","3.53","debit","Coffee Shops","CREDIT CARD","",""
"3/06/2023","YIA YIA`S","YIA YIA`S","17.15","debit","Restaurants","CREDIT CARD","",""
"3/06/2023","AMZN Mktp US*H55NA6AM1","AMZN Mktp US*H55NA6AM1","23.70","debit","Shopping","CREDIT CARD","",""
"3/06/2023","NYTimes*NYTimes 800-698-4637 NY","NYTimes*NYTimes 800-698-4637 NY","17.00","debit","Newspapers & Magazines","TOTAL CHECKING","",""
"3/06/2023","FAMOUS FAM* FAMOUS F HTTPSSLICEL","FAMOUS FAM* FAMOUS F HTTPSSLICEL","17.04","debit","Restaurants","TOTAL CHECKING","",""
"3/06/2023","GEICO            PREM COLL","GEICO            PREM COLL","162.92","debit","Motorcycle Insurance","TOTAL CHECKING","",""
"3/06/2023","Investment Income","Investment Income","0.03","credit","Investments","Automated","",""
"3/06/2023","Investment Income","Investment Income","0.01","credit","Investments","Automated","",""
"3/06/2023","Investment Income","Investment Income","0.04","credit","Investments","Automated","",""
"3/06/2023","Buy Mutual Fund","Buy Mutual Fund","0.08","debit","Transfer","Automated","",""
"3/05/2023","Prime Video*H57290ZW1","Prime Video*H57290ZW1","8.99","debit","Movies & DVDs","CREDIT CARD","",""
"3/05/2023","LAND OF PLENTY","LAND OF PLENTY","16.00","debit","Restaurants","CREDIT CARD","",""
"3/05/2023","SHELL OIL 57544416209","SHELL OIL 57544416209","9.41","debit","Gas & Fuel","CREDIT CARD","",""
"3/05/2023","SEAMLSSMARINARAPIZZA","SEAMLSSMARINARAPIZZA","38.87","debit","Food Delivery","CREDIT CARD","",""
"3/05/2023","TM *THE FLAMING LIPS","TM *THE FLAMING LIPS","183.70","debit","Music","CREDIT CARD","",""
"3/05/2023","AMZN Mktp US*H57T19NO1","AMZN Mktp US*H57T19NO1","95.71","debit","Shopping","CREDIT CARD","",""
"3/05/2023","DD/BR #351274 Q35","DD/BR #351274 Q35","3.53","debit","Coffee Shops","CREDIT CARD","",""
"3/05/2023","BEST PIZZA #2","BEST PIZZA #2","10.92","debit","Fast Food","CREDIT CARD","",""
"3/05/2023","TM *THE FLAMING LIPS","TM *THE FLAMING LIPS","152.00","debit","Music","CREDIT CARD","",""
"3/03/2023","DISCOVER         E-PAYMENT  6130","DISCOVER         E-PAYMENT  6130","2000.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/03/2023","SQ *MATTO APP gosq.com NY","SQ *MATTO APP gosq.com NY","10.00","debit","Coffee Shops","TOTAL CHECKING","",""
"3/03/2023","YORKVILLE PLAZA  WEB PMTS   BFFY","YORKVILLE PLAZA  WEB PMTS   BFFY","1325.00","debit","Mortgage & Rent","TOTAL CHECKING","",""
"3/03/2023","ALLIANZ EVENT INS","ALLIANZ EVENT INS","18.50","debit","Music","CREDIT CARD","",""
"3/03/2023","ALLIANZ EVENT INS","ALLIANZ EVENT INS","18.50","debit","Music","CREDIT CARD","",""
"3/03/2023","Sell Mutual Fund","Sell Mutual Fund","4.46","credit","Transfer","Automated","",""
"3/02/2023","MEMORIAL SLOAN K PAYROLL PPD ID: 9200401281","MEMORIAL SLOAN K PAYROLL","2678.70","credit","MSK Paycheck","TOTAL CHECKING","",""
"3/02/2023","Payment to Chase card ending in","Payment to Chase card ending in","1606.04","debit","Credit Card Payment","TOTAL CHECKING","",""
"3/02/2023","NEW YORK PRESBYT DIRECT DEP","NEW YORK PRESBYT DIRECT DEP","2006.87","credit","NYP Paycheck","TOTAL CHECKING","",""
"3/02/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"3/02/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"3/02/2023","In Standard Moto","IN *STANDARD MOTO LLC","223.88","debit","Motorcycle Garage","CREDIT CARD","",""
"3/02/2023","MINI DELI OF BIG APPLE","MINI DELI OF BIG APPLE","17.95","debit","Restaurants","CREDIT CARD","",""
"3/02/2023","Payment Thank You-Mobile","Payment Thank You-Mobile","1606.04","credit","Credit Card Payment","CREDIT CARD","",""
"3/02/2023","SEAMLSSPIGHEAVEN","SEAMLSSPIGHEAVEN","48.22","debit","Food Delivery","CREDIT CARD","",""
"3/02/2023","APPLE.COM/BILL","APPLE.COM/BILL","6.99","debit","Electronics & Software","CREDIT CARD","",""
"3/02/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"3/01/2023","Lyft","LYFT   1 RIDE 02-27","18.67","debit","Taxi_Lyft","CREDIT CARD","",""
"3/01/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"3/01/2023","YIA YIA`S","YIA YIA`S","17.15","debit","Restaurants","CREDIT CARD","",""
"3/01/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"3/01/2023","Buy Stock","Buy Stock","9.13","debit","Investments","Automated","",""
"3/01/2023","Buy Mutual Fund","Buy Mutual Fund","0.05","debit","Transfer","Automated","",""
"3/01/2023","Sell Stock","Sell Stock","4.67","credit","Investments","Automated","",""
"3/01/2023","Investment Income","Investment Income","0.05","credit","Transfer","Automated","",""
"2/28/2023","SQ *MATTO APP gosq.com NY","SQ *MATTO APP gosq.com NY","10.00","debit","Coffee Shops","TOTAL CHECKING","",""
"2/28/2023","SQ *MATTO APP gosq.com NY","SQ *MATTO APP gosq.com NY","10.00","debit","Coffee Shops","TOTAL CHECKING","",""
"2/28/2023","SEAMLSSSALVOSPIZZABAR","SEAMLSSSALVOSPIZZABAR","57.77","debit","Food Delivery","CREDIT CARD","",""
"2/27/2023","Amazon Digit*HD64A7QU0","Amazon Digit*HD64A7QU0","10.99","debit","Shopping","CREDIT CARD","",""
"2/27/2023","WAYFAIR*Wayfair","WAYFAIR*Wayfair","68.58","debit","Furnishings","CREDIT CARD","",""
"2/27/2023","SEAMLSSMARINARAPIZZA SEAMLESS.CO","SEAMLSSMARINARAPIZZA SEAMLESS.CO","38.87","debit","Food Delivery","TOTAL CHECKING","",""
"2/27/2023","WWW.CSCSW.COM HTTPSWWW.CSCS NY","WWW.CSCSW.COM HTTPSWWW.CSCS NY","5.00","debit","Laundry","TOTAL CHECKING","",""
"2/27/2023","SP TUFT AND NEEDLE HTTPSWWW.TUFT","SP TUFT AND NEEDLE HTTPSWWW.TUFT","73.49","debit","Shopping","TOTAL CHECKING","",""
"2/26/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/26/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/26/2023","Lyft","LYFT   1 RIDE 02-23","15.99","debit","Taxi_Lyft","CREDIT CARD","",""
"2/26/2023","Lyft","LYFT   1 RIDE 02-24","20.87","debit","Taxi_Lyft","CREDIT CARD","",""
"2/26/2023","VTG*LCSW","VTG*LCSW","30.00","debit","Doctor","CREDIT CARD","",""
"2/26/2023","YIA YIA`S","YIA YIA`S","17.15","debit","Restaurants","CREDIT CARD","",""
"2/26/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/24/2023","SEAMLSSMARINARAPIZZA SEAMLESS.CO","SEAMLSSMARINARAPIZZA SEAMLESS.CO","27.11","debit","Food Delivery","TOTAL CHECKING","",""
"2/24/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/23/2023","LUSCIOUS THAI NEW YORK NY","LUSCIOUS THAI NEW YORK NY","151.89","debit","Restaurants","TOTAL CHECKING","",""
"2/23/2023","Verizon","VERIZON          PAYMENTREC 7560","95.55","debit","Internet","TOTAL CHECKING","",""
"2/23/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/23/2023","Amazon.com*HD75E6O10","Amazon.com*HD75E6O10","15.47","debit","Shopping","CREDIT CARD","",""
"2/23/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/23/2023","Lyft","LYFT   1 RIDE 02-21","15.99","debit","Taxi_Lyft","CREDIT CARD","",""
"2/23/2023","YIA YIA`S","YIA YIA`S","17.15","debit","Restaurants","CREDIT CARD","",""
"2/23/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/22/2023","Triumph of Brooklyn","TRIUMPH OF BROOKLYN","1531.19","debit","Motorcycle Parts","CREDIT CARD","",""
"2/22/2023","Lyft","LYFT   1 RIDE 02-20","19.35","debit","Taxi_Lyft","CREDIT CARD","",""
"2/22/2023","YIA YIA`S","YIA YIA`S","17.15","debit","Restaurants","CREDIT CARD","",""
"2/22/2023","GEICODigitalPay VISA DIRECT MD","GEICODigitalPay VISA DIRECT MD","1031.20","credit","Motorcycle Insurance","TOTAL CHECKING","",""
"2/22/2023","IRS              USATAXPYMT","IRS              USATAXPYMT","79.00","debit","Federal Tax","TOTAL CHECKING","",""
"2/22/2023","SEAMLSSPIGHEAVEN SEAMLESS.COM NY","SEAMLSSPIGHEAVEN SEAMLESS.COM NY","48.22","debit","Food Delivery","TOTAL CHECKING","",""
"2/22/2023","B&H PHOTO 800-606-6969 800-22157","B&H PHOTO 800-606-6969 800-22157","104.05","debit","Electronics & Software","TOTAL CHECKING","",""
"2/22/2023","SQ *MATTO APP gosq.com NY","SQ *MATTO APP gosq.com NY","10.00","debit","Coffee Shops","TOTAL CHECKING","",""
"2/21/2023","NYTimes*NYTimes 800-698-4637 NY","NYTimes*NYTimes 800-698-4637 NY","28.53","debit","Newspapers & Magazines","TOTAL CHECKING","",""
"2/21/2023","SQ *MATTO APP gosq.com NY","SQ *MATTO APP gosq.com NY","10.00","debit","Coffee Shops","TOTAL CHECKING","",""
"2/21/2023","INTUIT *TURBOTAX CL.INTUIT.COM C","INTUIT *TURBOTAX CL.INTUIT.COM C","117.58","debit","Taxes","TOTAL CHECKING","",""
"2/21/2023","MINI DELI OF BIG APPLE NEW YORK","MINI DELI OF BIG APPLE NEW YORK","17.95","debit","Electronics & Software","TOTAL CHECKING","",""
"2/21/2023","SQ *MATTO APP gosq.com NY","SQ *MATTO APP gosq.com NY","10.00","debit","Coffee Shops","TOTAL CHECKING","",""
"2/21/2023","SALVO'S PIZZA BAR NEW YORK NY","SALVO'S PIZZA BAR NEW YORK NY","9.50","debit","Restaurants","TOTAL CHECKING","",""
"2/21/2023","Riot* AN3Q7DC8DKRL 866-373-9211","Riot* AN3Q7DC8DKRL 866-373-9211","21.76","debit","Entertainment","TOTAL CHECKING","",""
"2/21/2023","MINI DELI OF BIG APPLE NEW YORK","MINI DELI OF BIG APPLE NEW YORK","17.95","debit","Electronics & Software","TOTAL CHECKING","",""
"2/21/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/21/2023","Lyft","LYFT   1 RIDE 02-19","11.99","debit","Taxi_Lyft","CREDIT CARD","",""
"2/20/2023","YIA YIA`S","YIA YIA`S","17.15","debit","Restaurants","CREDIT CARD","",""
"2/20/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/20/2023","Lyft","LYFT   1 RIDE 02-18","15.78","debit","Taxi_Lyft","CREDIT CARD","",""
"2/20/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/19/2023","APPLE.COM/BILL","APPLE.COM/BILL","0.99","debit","Electronics & Software","CREDIT CARD","",""
"2/19/2023","YIA YIA`S","YIA YIA`S","17.15","debit","Restaurants","CREDIT CARD","",""
"2/19/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/19/2023","Amazon Prime*HE4HQ9QY2","Amazon Prime*HE4HQ9QY2","151.34","debit","Shopping","CREDIT CARD","",""
"2/19/2023","VTG*LCSW","VTG*LCSW","30.00","debit","Doctor","CREDIT CARD","",""
"2/19/2023","Lyft","LYFT   3 RIDES 02-17","67.37","debit","Taxi_Lyft","CREDIT CARD","",""
"2/19/2023","Lyft","LYFT   1 RIDE 02-16","15.50","debit","Taxi_Lyft","CREDIT CARD","",""
"2/17/2023","MINI DELI OF BIG APPLE NEW YORK","MINI DELI OF BIG APPLE NEW YORK","19.31","debit","Electronics & Software","TOTAL CHECKING","",""
"2/17/2023","SEAMLSSMARINARAPIZZA SEAMLESS.CO","SEAMLSSMARINARAPIZZA SEAMLESS.CO","38.87","debit","Food Delivery","TOTAL CHECKING","",""
"2/17/2023","DISCOVER         E-PAYMENT  6130","DISCOVER         E-PAYMENT  6130","2861.00","debit","Credit Card Payment","TOTAL CHECKING","",""
"2/16/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/16/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/16/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/16/2023","PAPA JOHN'S #4653","PAPA JOHN'S #4653","33.69","debit","Fast Food","CREDIT CARD","",""
"2/16/2023","Lyft","LYFT   3 RIDES 02-14","72.19","debit","Taxi_Lyft","CREDIT CARD","",""
"2/16/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/16/2023","NEW YORK PRESBYT DIRECT DEP","NEW YORK PRESBYT DIRECT DEP","1685.78","credit","NYP Paycheck","TOTAL CHECKING","",""
"2/16/2023","MEMORIAL SLOAN K PAYROLL PPD ID: 9200401281","MEMORIAL SLOAN K PAYROLL","2678.70","credit","MSK Paycheck","TOTAL CHECKING","",""
"2/15/2023","YIA YIA`S","YIA YIA`S","18.24","debit","Restaurants","CREDIT CARD","",""
"2/15/2023","GREEK EATS","GREEK EATS","17.42","debit","Restaurants","CREDIT CARD","",""
"2/15/2023","Lyft","LYFT   1 RIDE 02-13","15.73","debit","Taxi_Lyft","CREDIT CARD","",""
"2/15/2023","VENMO            PAYMENT    1025","VENMO            PAYMENT    1025","150.00","debit","Venmo","TOTAL CHECKING","",""
"2/15/2023","GEICODigitalPay VISA DIRECT MD","GEICODigitalPay VISA DIRECT MD","325.00","credit","Motorcycle Insurance","TOTAL CHECKING","",""
"2/15/2023","AMC 2102 TH STREET NEW YORK NY","AMC 2102 TH STREET NEW YORK NY","27.51","debit","Movies & DVDs","TOTAL CHECKING","",""
"2/15/2023","AMC 2102 TH STREET NEW YORK NY","AMC 2102 TH STREET NEW YORK NY","42.98","debit","Movies & DVDs","TOTAL CHECKING","",""
"2/15/2023","TRATTORIA DELL ARTE TRATTORIADEL","TRATTORIA DELL ARTE TRATTORIADEL","50.00","debit","Restaurants","TOTAL CHECKING","",""
"2/14/2023","HELP.HBOMAX.COM","HELP.HBOMAX.COM","15.99","debit","Entertainment","CREDIT CARD","",""
"2/14/2023","SEAMLSSLAVITAPIZZA SEAMLESS.COM","SEAMLSSLAVITAPIZZA SEAMLESS.COM","38.21","debit","Food Delivery","TOTAL CHECKING","",""
"2/14/2023","MTA*NYCT PAYGO NEW YORK NY","MTA*NYCT PAYGO NEW YORK NY","2.75","debit","Public Transportation","TOTAL CHECKING","",""
"2/13/2023","Travelers        PER INSUR","Travelers        PER INSUR","17.00","debit","Bills & Utilities","TOTAL CHECKING","",""
"2/13/2023","VENMO            PAYMENT    1025","VENMO            PAYMENT    1025","175.00","debit","Venmo","TOTAL CHECKING","",""
"2/13/2023","7-ELEVEN NEW YORK NY","7-ELEVEN NEW YORK NY","15.95","debit","Fast Food","TOTAL CHECKING","",""
"2/13/2023","MARKETERIA NEW YORK NY","MARKETERIA NEW YORK NY","4.08","debit","Groceries","TOTAL CHECKING","",""
"2/13/2023","YIA YIA`S NEW YORK NY","YIA YIA`S NEW YORK NY","17.15","debit","Restaurants","TOTAL CHECKING","",""
"2/13/2023","7-ELEVEN NEW YORK NY","7-ELEVEN NEW YORK NY","2.71","debit","Fast Food","TOTAL CHECKING","",""
"2/13/2023","SEAMLSSPIGHEAVEN SEAMLESS.COM NY","SEAMLSSPIGHEAVEN SEAMLESS.COM NY","48.22","debit","Food Delivery","TOTAL CHECKING","",""
"2/13/2023","DD/BR #351274 Q35 NEW YORK NY","DD/BR #351274 Q35 NEW YORK NY","10.99","debit","Coffee Shops","TOTAL CHECKING","",""
"2/13/2023","Curb","CURB SVC TAXI QUEEN QUEENS NY","14.88","debit","Taxi_Lyft","TOTAL CHECKING","",""
"2/13/2023","DD/BR #351274 Q35 NEW YORK NY","DD/BR #351274 Q35 NEW YORK NY","6.42","debit","Coffee Shops","TOTAL CHECKING","",""
"2/13/2023","SEAMLSSPIGHEAVEN SEAMLESS.COM NY","SEAMLSSPIGHEAVEN SEAMLESS.COM NY","48.22","debit","Food Delivery","TOTAL CHECKING","",""
"2/13/2023","Amazon Digit*H97JF7YU1","Amazon Digit*H97JF7YU1","10.99","debit","Shopping","CREDIT CARD","",""
"2/12/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/12/2023","VTG*LCSW","VTG*LCSW","30.00","debit","Doctor","CREDIT CARD","",""
"2/12/2023","Prime Video*LL79U4N43","Prime Video*LL79U4N43","10.99","debit","Movies & DVDs","CREDIT CARD","",""
"2/12/2023","MTA*NYCT PAYGO","MTA*NYCT PAYGO","2.75","debit","Public Transportation","CREDIT CARD","",""
"2/10/2023","Amazon.com*121DA1GH3 Amzn.com/bi","Amazon.com*121DA1GH3 Amzn.com/bi","41.76","debit","Shopping","TOTAL CHECKING","",""
"2/10/2023","BEST PIZZA #2 NEW YORK NY","BEST PIZZA #2 NEW YORK NY","9.88","debit","Restaurants","TOTAL CHECKING","",""
